"","Site_code","Month","Year","ppt_pA","tmin_pA","tmax_pA","tavg_pA","vpdmin_pA","vpdmax_pA","Month","ppt_pM","tmin_pM","tmax_pM","tavg_pM","vpdmin_pM","vpdmax_pM","ppt_cA","tmin_cA","tmax_cA","tavg_cA","cmd_cA","ppt_cM","tmin_cM","tmax_cM","tavg_cM","cmd_cM"
"47","DC 1",11,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,11,159.2519989,3.7060001,12.3959999,8.0500002,1.008,7.5279999,1641,3.8,24.2,12.9,804,149,3.1,13.4,8.3,0
"48","DC 1",12,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,12,230.3860016,0.393,10.1750002,5.2840004,1.743,8.1049995,1641,3.8,24.2,12.9,804,212,0.7,10.5,5.6,0
"49","DC 1",1,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,1,64.7539978,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,1082,3.4,22.9,13.2,734,41,-1.3,11.4,5.1,0
"50","DC 1",2,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,2,417.3919983,1.112,10.4040003,5.7570004,1.1950001,7.0929999,1082,3.4,22.9,13.2,734,435,1.5,11.2,6.4,0
"51","DC 1",3,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,3,41.7000008,3.401,17.2819996,10.3410006,2.135,14.4280005,1082,3.4,22.9,13.2,734,45,3.8,18.3,11.1,38
"52","DC 1",4,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,4,111.0439987,3.3510001,17.6749992,10.5120001,1.671,14.427,1082,3.4,22.9,13.2,734,102,4,18.5,11.3,0
"53","DC 1",5,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,5,44.8540001,8.4820004,23.8299999,16.1560001,4.4530001,23.7689991,1082,3.4,22.9,13.2,734,37,7.8,23.8,15.8,108
"54","DC 1",6,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,6,18.3439999,11.7720003,27.1679993,19.4690018,5.5749998,28.4810009,1082,3.4,22.9,13.2,734,12,10.8,27.5,19.2,154
"55","DC 1",7,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,7,0.676,15.2550001,31.0020008,23.1280003,7.8039999,36.0690002,1082,3.4,22.9,13.2,734,2,14.3,31.4,22.9,183
"56","DC 1",8,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,8,0,14.9770002,31.1170006,23.0470009,9.5010004,38.2229996,1082,3.4,22.9,13.2,734,2,13.9,31.4,22.7,166
"57","DC 1",9,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,9,35.9830017,10.1630001,25.3670006,17.7650013,5.132,26.8530006,1082,3.4,22.9,13.2,734,32,9.6,25.5,17.5,79
"58","DC 1",10,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,10,123.9049988,6.2090001,18.6060009,12.4070005,2.329,14.6700001,1082,3.4,22.9,13.2,734,115,5.8,19,12.4,0
"59","DC 1",11,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,11,51.2799988,5.5300002,15.7720003,10.651001,3.207,15.4329996,1082,3.4,22.9,13.2,734,39,4,17.4,10.7,6
"60","DC 1",12,2007,1188.0980225,6.4650002,19.7340012,13.0990009,3.8500001,19.6530018,12,278.1669922,-1.072,7.6399999,3.2830002,0.803,5.5700002,1082,3.4,22.9,13.2,734,220,-1.3,8,3.4,0
"61","DC 1",1,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,1,354.8420105,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,1137,3.4,23.2,13.3,872,413,-0.9,7.6,3.4,0
"62","DC 1",2,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,2,254.7440033,-0.143,10.7950001,5.3260002,1.401,8.6350002,1137,3.4,23.2,13.3,872,214,0.2,11.7,5.9,0
"63","DC 1",3,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,3,60.7750015,1.342,14.3109999,7.8260002,1.399,11.4729996,1137,3.4,23.2,13.3,872,51,1.6,14.9,8.3,20
"64","DC 1",4,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,4,19.1299992,2.122,17.3899994,9.7550001,2.273,16.0510006,1137,3.4,23.2,13.3,872,17,2.4,17.5,9.9,82
"65","DC 1",5,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,5,25.6410007,7.948,22.25,15.0980005,4.105,21.2740002,1137,3.4,23.2,13.3,872,17,7.8,22.5,15.1,119
"66","DC 1",6,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,6,0,12.3599997,27.9529991,20.1550007,7.6810002,31.6130009,1137,3.4,23.2,13.3,872,1,11.2,28,19.6,166
"67","DC 1",7,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,7,0,15.8719997,31.8169994,23.8430004,9.7639999,39.1769981,1137,3.4,23.2,13.3,872,1,14.4,31.7,23.1,187
"68","DC 1",8,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,8,0,15.632,32.1339989,23.8820019,10.3809996,40.8549995,1137,3.4,23.2,13.3,872,2,14.5,31.9,23.2,168
"69","DC 1",9,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,9,0,12.9250002,29.5410004,21.2330017,10.302,36.723999,1137,3.4,23.2,13.3,872,1,11.9,29.6,20.8,127
"70","DC 1",10,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,10,53.8260002,8.6400003,23.0510006,15.8450012,6.579,23.8169994,1137,3.4,23.2,13.3,872,76,7.4,22.6,15,3
"71","DC 1",11,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,11,187.7830048,5.9590001,15.2959995,10.6270008,2.7030001,10.6429996,1137,3.4,23.2,13.3,872,141,4.9,16.5,10.7,0
"72","DC 1",12,2008,1175.6610107,6.7900004,19.9760017,13.3830004,4.9560003,21.1250019,12,218.9199982,-0.357,8.6370001,4.1400003,1.709,7.4070001,1137,3.4,23.2,13.3,872,203,-1,9.2,4.1,0
"73","DC 1",1,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,1,118.5059967,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,1402,4,23.2,13.2,630,116,1.7,13.7,7.7,0
"74","DC 1",2,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,2,385.6690063,0.563,9.3900003,4.9760003,1.444,7.2350001,1402,4,23.2,13.2,630,365,0.7,10.3,5.5,0
"75","DC 1",3,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,3,230.5709991,0.927,12.3940001,6.6600003,1.404,9.6809998,1402,4,23.2,13.2,630,263,1,13.5,7.2,0
"76","DC 1",4,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,4,62.9410019,2.8440001,16.9540005,9.8990002,2.7679999,15.6789999,1402,4,23.2,13.2,630,57,3.2,17.5,10.3,41
"77","DC 1",5,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,5,180.3390045,10.1949997,23.7169991,16.9549999,5.131,23.0599995,1402,4,23.2,13.2,630,141,9.5,24,16.8,0
"78","DC 1",6,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,6,12.1780005,11.335,24.5459995,17.9400005,4.5609999,22.7700005,1402,4,23.2,13.2,630,24,10.4,25.2,17.8,126
"79","DC 1",7,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,7,0,16.3700008,31.8400002,24.1050014,10.9029999,39.5029984,1402,4,23.2,13.2,630,1,14.6,31.8,23.2,186
"80","DC 1",8,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,8,0,15.0970001,30.2240009,22.6600018,9.0290003,35.4280014,1402,4,23.2,13.2,630,2,13.8,30.5,22.2,159
"81","DC 1",9,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,9,2.6400001,14.4700003,29.8209991,22.1450005,9.3900003,35.9650002,1402,4,23.2,13.2,630,10,12.8,30,21.4,118
"82","DC 1",10,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,10,112.086998,6.6859999,18.9880009,12.8360004,2.941,15.0109997,1402,4,23.2,13.2,630,138,5.7,19.5,12.6,0
"83","DC 1",11,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,11,67.2399979,4.336,14.6709995,9.5020008,2.2909999,11.2679996,1402,4,23.2,13.2,630,72,2.9,15.4,9.2,0
"84","DC 1",12,2009,1422.743042,7.0670004,19.5410004,13.3040009,4.5480003,19.4750004,12,250.5720062,-0.347,8.6400003,4.1460004,1.146,6.1999998,1402,4,23.2,13.2,630,212,-0.8,8.8,4,0
"85","DC 1",1,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,1,338.3049927,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,2052,5.3,22.7,12.3,616,310,2.2,10.3,6.3,0
"86","DC 1",2,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,2,205.6809998,1.403,10.1049995,5.7530003,0.819,8.9729996,2052,5.3,22.7,12.3,616,185,1.9,11.4,6.6,0
"87","DC 1",3,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,3,190.1080017,0.966,12.3470001,6.6560001,1.903,13.4230003,2052,5.3,22.7,12.3,616,178,1.3,13.7,7.5,0
"88","DC 1",4,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,4,272.4769897,1.391,12.0550003,6.7230005,0.793,9.4379997,2052,5.3,22.7,12.3,616,257,2,13.7,7.8,0
"89","DC 1",5,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,5,137.9129944,4.283,16.6720009,10.4770002,2.1600001,13.1590004,2052,5.3,22.7,12.3,616,98,4.1,17.3,10.7,14
"90","DC 1",6,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,6,6.7319999,11.6529999,24.9190006,18.2850018,4.2880001,22.5380001,2052,5.3,22.7,12.3,616,8,10.7,25.3,18,142
"91","DC 1",7,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,7,0,15.4130001,30.7110004,23.0620003,7.3039999,33.8100014,2052,5.3,22.7,12.3,616,1,14.2,31.2,22.7,183
"92","DC 1",8,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,8,2.8340001,13.8199997,28.9230003,21.3710003,8.0150003,32.8510017,2052,5.3,22.7,12.3,616,2,12.4,29.4,20.9,156
"93","DC 1",9,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,9,2.0420001,12.3380003,27.6019993,19.9690018,7.4070001,30.6529999,2052,5.3,22.7,12.3,616,1,11,28.2,19.6,121
"94","DC 1",10,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,10,261.9169922,9.1370001,20.7059994,14.9210005,3.4549999,17.4370003,2052,5.3,22.7,12.3,616,237,8.2,20.6,14.4,0
"95","DC 1",11,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,11,299.7059937,2.97,12.3760004,7.6730003,1.788,9.0579996,2052,5.3,22.7,12.3,616,258,1.8,13.1,7.5,0
"96","DC 1",12,2010,2304.2780762,6.4210005,17.8770008,12.1480007,3.2830002,16.7680016,12,586.5640259,1.796,8.5970001,5.1960001,0.504,4.3070002,2052,5.3,22.7,12.3,616,518,1.6,9,5.3,0
"97","DC 1",1,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,1,75.6480026,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,1901,4.5,22,12.1,462,151,1,12,6.5,0
"98","DC 1",2,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,2,267.9219971,-1.205,9.1149998,3.9540002,1.4960001,7.7249999,1901,4.5,22,12.1,462,365,-1.1,10,4.5,0
"99","DC 1",3,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,3,611.7839966,0.744,8.4359999,4.5890002,0.465,5.1680002,1901,4.5,22,12.1,462,597,1.6,10.6,6.1,0
"100","DC 1",4,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,4,109.5049973,2.082,14.1260004,8.1040001,0.93,10.0900002,1901,4.5,22,12.1,462,142,2.6,15,8.8,0
"101","DC 1",5,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,5,111.8040009,4.6350002,16.6030006,10.6190004,2.164,13.0979996,1901,4.5,22,12.1,462,145,4.5,17.6,11.1,0
"102","DC 1",6,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,6,81.7409973,10.3599997,22.9080009,16.6330013,3.813,19.4669991,1901,4.5,22,12.1,462,109,9.2,23.3,16.3,31
"103","DC 1",7,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,7,0,13.8649998,28.4330006,21.1480007,5.4569998,28.7189999,1901,4.5,22,12.1,462,1,13.2,29,21.1,169
"104","DC 1",8,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,8,0,15.3769999,30.2950001,22.835001,8.684,34.9529991,1901,4.5,22,12.1,462,1,13.4,30.6,22,163
"105","DC 1",9,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,9,0.517,14.6120005,29.7929993,22.2020016,8.3719997,34.6860008,1901,4.5,22,12.1,462,28,13.2,30,21.6,99
"106","DC 1",10,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,10,133.7100067,8.4440002,20.9939995,14.7180004,3.013,17.0559998,1901,4.5,22,12.1,462,206,7.2,21.1,14.1,0
"107","DC 1",11,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,11,90.8769989,3.622,12.1400003,7.8800006,1.6849999,8.599,1901,4.5,22,12.1,462,136,1.7,12.9,7.3,0
"108","DC 1",12,2011,1490.8570557,6.2950001,18.1190014,12.2060003,3.4340003,16.6930008,12,7.3499999,1.556,12.1350002,6.8450003,3.1530001,10.7089996,1901,4.5,22,12.1,462,21,0.4,12.1,6.2,10
"109","DC 1",1,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,1,240.2640076,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,2258,3.9,23.9,13.3,694,281,1.3,12.9,7.1,0
"110","DC 1",2,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,2,79.9349976,1.079,11.6660004,6.3720002,1.585,9.1160002,2258,3.9,23.9,13.3,694,167,0.4,12.3,6.3,0
"111","DC 1",3,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,3,543.8220215,1.397,9.9820004,5.6890001,0.889,6.3049998,2258,3.9,23.9,13.3,694,519,1.9,11.4,6.7,0
"112","DC 1",4,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,4,264.4620056,4.1729999,16.0410004,10.1060009,1.858,12.3730001,2258,3.9,23.9,13.3,694,236,4.2,17.1,10.7,0
"113","DC 1",5,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,5,19.537199,8.2690001,22.3829994,15.3250008,4.8039999,22.0009995,2258,3.9,23.9,13.3,694,33,7.7,23,15.3,107
"114","DC 1",6,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,6,57.0760002,11.6029997,25.3610001,18.4810009,6.6209998,26.1529999,2258,3.9,23.9,13.3,694,48,10.2,26.1,18.2,110
"115","DC 1",7,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,7,2.6229999,14.5780001,29.7420006,22.1600018,9.2880001,33.9980011,2258,3.9,23.9,13.3,694,5,13.4,30.3,21.8,175
"116","DC 1",8,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,8,0.125,16.5049992,32.8639984,24.6840019,11.6199999,43.2579994,2258,3.9,23.9,13.3,694,7,15,32.9,23.9,168
"117","DC 1",9,2012,2282.2800293,7.5230002,19.5300007,13.526001,4.8310003,19.5950012,9,0,14.6560001,30.059,22.3570004,9.6110001,35.2659988,2258,3.9,23.9,13.3,694,6,13.1,30.4,21.8,124
