"","Site_code","Month","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM","tmax_cM","tmin_cM","tavg_cM","ppt_cM","cmd_cM","ppt_pA","tmax_pA","tmin_pA","tavg_pA","vpdmin_pA","vpdmax_pA","ppt_cA","tmax_cA","tmin_cA","tavg_cA","cmd_cA"
"16","DC 1",1,2004,181.4049988,9.5649996,-0.66,4.4520001,0.746,6.4489999,9.9,-0.3,4.8,159,0,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"17","DC 1",2,2004,370.6099854,8.8559999,-0.365,4.2450004,0.689,5.7909999,9.7,0,4.8,364,0,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"18","DC 1",3,2004,52.3069992,19.3460007,5.0370002,12.1910009,2.9100001,16.9239998,19.2,4.7,12,54,31,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"19","DC 1",4,2004,45.6640015,19.2119999,4.7010002,11.9560003,2.9100001,17.2959995,19.4,5,12.2,26,78,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"20","DC 1",5,2004,21.6879997,22.1359997,7.2540002,14.6940002,3.0039999,19.6539993,22.2,6.7,14.5,23,114,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"21","DC 1",6,2004,1.973,28.0879993,12.6300011,20.3590012,6.427,29.3710003,27.8,10.8,19.3,3,165,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"22","DC 1",7,2004,0.889,31.3080006,15.0690002,23.1880016,8.4849997,37.3370018,31.3,13.8,22.6,1,185,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"23","DC 1",8,2004,0,30.9850006,14.5830011,22.7840004,9.5539999,37.9480019,31,13.4,22.2,1,165,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"24","DC 1",9,2004,8.3479996,27.9179993,11.0600004,19.4880009,8.3120003,33.5349998,28.1,10.3,19.2,14,109,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"25","DC 1",10,2005,207.5639954,19.0130005,7.0250001,13.019001,4.1729999,17.6019993,19.4,5.6,12.5,212,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"26","DC 1",11,2005,111.0299988,11.9709997,1.9570001,6.9630003,1.092,9.3929996,13.5,1.7,7.6,113,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"27","DC 1",12,2005,292.4719849,10.3999996,0.451,5.4250002,1.66,8.9499998,11.2,1.1,6.2,325,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"28","DC 1",1,2005,290.8900146,9.573,0.312,4.9420004,1.306,7.026,10.2,0.9,5.5,252,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"29","DC 1",2,2005,154.8670044,11.6099997,2.1700001,6.8890004,1.274,7.6090002,12.3,2.2,7.2,143,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"30","DC 1",3,2005,356.3359985,14.3079996,2.4070001,8.3570004,1.918,11.3839998,14.9,2.6,8.8,284,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"31","DC 1",4,2005,134.621994,15.3929996,2.003,8.6970005,1.173,11.651,16.3,2.5,9.4,104,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"32","DC 1",5,2005,258.0140076,19.2859993,7.2270002,13.2560005,2.227,14.6719999,20,7,13.5,156,0,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"33","DC 1",6,2005,91.2969971,22.934,9.0640001,15.9990005,3.1570001,19.3269997,23.4,8.2,15.8,55,88,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"34","DC 1",7,2005,0,32.4910011,16.4430008,24.467001,7.5469999,37.1329994,33.1,15.4,24.3,1,195,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"35","DC 1",8,2005,0,32.0229988,15.3520012,23.6870003,9.7910004,39.8050003,32.1,14.3,23.2,2,170,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"36","DC 1",9,2005,16.5839996,25.8619995,9.8710003,17.8660011,5.9749999,27.2830009,26.1,9.2,17.7,18,97,159.472999575,18.73866645,6.19016691666667,12.4639172166667,3.44108335,17.652916575,138.75,19.375,5.89166666666667,12.6416666666667,45.8333333333333
"37","DC 1",10,2006,43.1889992,20.9829998,7.3610005,14.1720009,3.3800001,18.5149994,21.4,6.4,13.9,42,33,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"38","DC 1",11,2006,163.246994,14.4040003,4.6880002,9.5460005,2.349,12.8909998,15.9,3.9,9.9,153,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"39","DC 1",12,2006,858.7589722,10.2119999,1.9680001,6.0890002,0.831,5.947,10.8,2.2,6.5,565,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"40","DC 1",1,2006,356.2799988,9.0480003,0.83,4.9390001,0.741,5.9250002,9.8,1,5.4,262,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"41","DC 1",2,2006,232.1089935,12.8299999,0.772,6.8000002,2.3050001,11.0039997,13.3,0.7,7,237,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"42","DC 1",3,2006,450.8299866,6.869,-1.391,2.7380002,0.279,4.4780002,8.5,-0.9,3.8,408,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"43","DC 1",4,2006,467.0069885,13.8330002,3.0760002,8.4540005,0.698,9.1090002,15,3.8,9.4,314,0,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"44","DC 1",5,2006,47.3839989,23.0400009,8.8310003,15.9350004,3.609,20.9939995,23.2,8.1,15.7,38,102,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"45","DC 1",6,2006,0.719,28.5030003,13.5270004,21.0150013,5.9580002,29.8670006,28.7,12.3,20.5,4,166,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"46","DC 1",7,2006,0,33.0579987,16.4810009,24.769001,10.0310001,41.4370003,32.9,15.5,24.2,1,192,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"47","DC 1",8,2006,0,29.8519993,13.4820004,21.6660004,8.1490002,34.4760017,30.6,13,21.8,1,163,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"48","DC 1",9,2006,0,28.3369999,11.8000002,20.0680008,8.7349997,33.1150017,28.2,10.8,19.5,3,119,218.293660975,19.247416625,6.78541693333333,13.0159172083333,3.92208336666667,18.9798336083333,169,19.8583333333333,6.4,13.1333333333333,64.5833333333333
"49","DC 1",10,2007,13.1750002,20.9370003,7.0560002,13.9960003,4.2290001,18.9969997,21,5.8,13.4,13,62,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"50","DC 1",11,2007,159.2519989,12.3959999,3.7060001,8.0500002,1.008,7.5279999,13.4,3.1,8.3,149,0,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"51","DC 1",12,2007,230.3860016,10.1750002,0.393,5.2840004,1.743,8.1049995,10.5,0.7,5.6,212,0,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"52","DC 1",1,2007,64.7539978,10.9490004,-1.5930001,4.6780005,2.3989999,10.8249998,11.4,-1.3,5.1,41,0,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"53","DC 1",2,2007,417.3919983,10.4040003,1.1110001,5.7570004,1.1950001,7.0929999,11.2,1.5,6.4,435,0,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"54","DC 1",3,2007,41.7000008,17.2819996,3.4010003,10.3410006,2.135,14.4280005,18.3,3.8,11.1,45,38,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"55","DC 1",4,2007,111.0439987,17.6749992,3.3510001,10.5120001,1.671,14.427,18.5,4,11.3,102,0,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"56","DC 1",5,2007,44.8540001,23.8299999,8.4820004,16.1560001,4.4530001,23.7689991,23.8,7.8,15.8,37,108,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"57","DC 1",6,2007,18.3439999,27.1679993,11.7720003,19.4690018,5.5749998,28.4810009,27.5,10.8,19.2,12,154,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"58","DC 1",7,2007,0.676,31.0020008,15.2550011,23.1280003,7.8039999,36.0690002,31.4,14.3,22.9,2,183,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"59","DC 1",8,2007,0,31.1170006,14.9770002,23.0470009,9.5010004,38.2229996,31.4,13.9,22.7,2,166,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"60","DC 1",9,2007,35.9830017,25.3670006,10.1630001,17.7650013,5.132,26.8530006,25.5,9.6,17.5,32,79,94.7966665,19.8585000916667,6.5061669,13.1819172416667,3.903750025,19.566499975,90.1666666666667,20.325,6.16666666666667,13.275,65.8333333333333
"61","DC 1",10,2008,123.9049988,18.6060009,6.2090001,12.4070005,2.329,14.6700001,19,5.8,12.4,115,0,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"62","DC 1",11,2008,51.2799988,15.7720003,5.5300002,10.651001,3.207,15.4329996,17.4,4,10.7,39,6,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"63","DC 1",12,2008,278.1669922,7.6399999,-1.072,3.2830002,0.803,5.5700002,8,-1.3,3.4,220,0,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"64","DC 1",1,2008,354.8420105,6.5450001,-0.808,2.868,1.178,5.8410001,7.6,-0.9,3.4,413,0,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"65","DC 1",2,2008,254.7440033,10.7950001,-0.143,5.3260002,1.401,8.6350002,11.7,0.2,5.9,214,0,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"66","DC 1",3,2008,60.7750015,14.3109999,1.342,7.8260002,1.399,11.4729996,14.9,1.6,8.3,51,20,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"67","DC 1",4,2008,19.1299992,17.3899994,2.1210001,9.7550001,2.273,16.0510006,17.5,2.4,9.9,17,82,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"68","DC 1",5,2008,25.6410007,22.25,7.9470005,15.0980005,4.105,21.2740002,22.5,7.8,15.1,17,119,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"69","DC 1",6,2008,0,27.9529991,12.3590002,20.1550007,7.6810002,31.6130009,28,11.2,19.6,1,166,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"70","DC 1",7,2008,0,31.8169994,15.8710003,23.8430004,9.7639999,39.1769981,31.7,14.4,23.1,1,187,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"71","DC 1",8,2008,0,32.1339989,15.6310005,23.8820019,10.3809996,40.8549995,31.9,14.5,23.2,2,168,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"72","DC 1",9,2008,0,29.5410004,12.9250002,21.2330017,10.302,36.723999,29.6,11.9,20.8,1,127,97.3736670833333,19.5628332,6.49266684166667,13.0272506166667,4.56858330833333,20.6096665083333,90.9166666666667,19.9833333333333,5.96666666666667,12.9833333333333,72.9166666666667
"73","DC 1",10,2009,53.8260002,23.0510006,8.6400003,15.8450012,6.579,23.8169994,22.6,7.4,15,76,3,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"74","DC 1",11,2009,187.7830048,15.2959995,5.9590001,10.6270008,2.7030001,10.6429996,16.5,4.9,10.7,141,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"75","DC 1",12,2009,218.9199982,8.6370001,-0.356,4.1400003,1.709,7.4070001,9.2,-1,4.1,203,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"76","DC 1",1,2009,118.5059967,13.316,2.3380001,7.8270001,3.576,11.9119997,13.7,1.7,7.7,116,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"77","DC 1",2,2009,385.6690063,9.3900003,0.563,4.9760003,1.444,7.2350001,10.3,0.7,5.5,365,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"78","DC 1",3,2009,230.5709991,12.3940001,0.9260001,6.6600003,1.404,9.6809998,13.5,1,7.2,263,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"79","DC 1",4,2009,62.9410019,16.9540005,2.8440001,9.8990002,2.7679999,15.6789999,17.5,3.2,10.3,57,41,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"80","DC 1",5,2009,180.3390045,23.7169991,10.1940002,16.9549999,5.131,23.0599995,24,9.5,16.8,141,0,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"81","DC 1",6,2009,12.1780005,24.5459995,11.335001,17.9400005,4.5609999,22.7700005,25.2,10.4,17.8,24,126,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"82","DC 1",7,2009,0,31.8400002,16.3700008,24.1050014,10.9029999,39.5029984,31.8,14.6,23.2,1,186,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"83","DC 1",8,2009,0,30.2240009,15.0970011,22.6600018,9.0290003,35.4280014,30.5,13.8,22.2,2,159,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"84","DC 1",9,2009,2.6400001,29.8209991,14.4700003,22.1450005,9.3900003,35.9650002,30,12.8,21.4,10,118,121.114417691667,19.9321666583333,7.36500034166667,13.6482506083333,4.93308336666667,20.2583332166667,116.583333333333,20.4,6.58333333333333,13.4916666666667,52.75
"85","DC 1",10,2010,112.086998,18.9880009,6.6850004,12.8360004,2.941,15.0109997,19.5,5.7,12.6,138,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"86","DC 1",11,2010,67.2399979,14.6709995,4.335,9.5020008,2.2909999,11.2679996,15.4,2.9,9.2,72,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"87","DC 1",12,2010,250.5720062,8.6400003,-0.347,4.1460004,1.146,6.1999998,8.8,-0.8,4,212,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"88","DC 1",1,2010,338.3049927,9.5159998,1.886,5.7000003,0.97,5.5749998,10.3,2.2,6.3,310,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"89","DC 1",2,2010,205.6809998,10.1049995,1.4020001,5.7530003,0.819,8.9729996,11.4,1.9,6.6,185,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"90","DC 1",3,2010,190.1080017,12.3470001,0.966,6.6560001,1.903,13.4230003,13.7,1.3,7.5,178,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"91","DC 1",4,2010,272.4769897,12.0550003,1.391,6.7230005,0.793,9.4379997,13.7,2,7.8,257,0,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"92","DC 1",5,2010,137.9129944,16.6720009,4.2820001,10.4770002,2.1600001,13.1590004,17.3,4.1,10.7,98,14,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"93","DC 1",6,2010,6.7319999,24.9190006,11.6520004,18.2850018,4.2880001,22.5380001,25.3,10.7,18,8,142,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"94","DC 1",7,2010,0,30.7110004,15.4130011,23.0620003,7.3039999,33.8100014,31.2,14.2,22.7,1,183,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"95","DC 1",8,2010,2.8340001,28.9230003,13.8190002,21.3710003,8.0150003,32.8510017,29.4,12.4,20.9,2,156,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"96","DC 1",9,2010,2.0420001,27.6019993,12.3380003,19.9690018,7.4070001,30.6529999,28.2,11,19.6,1,121,132.165915041667,17.9290834916667,6.15183355,12.0400006,3.3364167,16.9082501666667,121.833333333333,18.6833333333333,5.63333333333333,12.1583333333333,51.3333333333333
"97","DC 1",10,2011,261.9169922,20.7059994,9.1370001,14.9210005,3.4549999,17.4370003,20.6,8.2,14.4,237,0,200.592333633333,17.8199168083333,6.31825015833333,12.068667225,3.25949995,16.2302499333333,212.666666666667,18.4,5.76666666666667,12.1,38.5
"98","DC 1",11,2011,299.7059937,12.3760004,2.97,7.6730003,1.788,9.0579996,13.1,1.8,7.5,258,0,200.592333633333,17.8199168083333,6.31825015833333,12.068667225,3.25949995,16.2302499333333,212.666666666667,18.4,5.76666666666667,12.1,38.5
