"","Site_code","Year","ppt_pA","tmax_pA","tmin_pA","tavg_pA","vpdmin_pA","vpdmax_pA"
"126","DC 8",2016,1117.9840088,23.2200012,10.9370003,17.078001,3.5060003,20.6040001
"127","DC 8",2021,857.0825806,23.5228996,10.4656,16.9941998,4.1441998,23.4153996
"128","DC 8",2022,604.157959,23.8885002,10.6229,17.2556,4.8863997,24.2293987
"129","DC 15",2003,966.4900513,22.3680019,8.8500004,15.6080008,2.9850001,20.2310009
"130","DC 15",2004,830.2010498,22.5150013,8.6730003,15.5930004,3.2970002,21.1910019
"131","DC 15",2005,1348.7250977,21.9020004,8.9020004,15.401001,2.5150001,19.0560017
"132","DC 15",2006,1170.4620361,21.9840012,8.6470003,15.3150005,3.1020002,20.5670013
"133","DC 15",2007,754.132019,22.4520016,8.1640005,15.3070011,2.9490001,21.1260014
"134","DC 15",2008,679.6810303,22.6210003,8.4470005,15.5330009,3.8650002,22.5820007
"135","DC 15",2009,798.5430298,22.1160011,8.7520008,15.4330006,3.6440003,21.1070004
"136","DC 15",2010,1379.394043,20.9860001,8.7660007,14.875001,2.6130002,18.1389999
"137","DC 15",2011,905.1790161,20.9840012,8.2420006,14.6120005,2.6090002,18.2890015
"138","DC 15",2012,1401.5887451,22.3490009,9.1220007,15.7350006,3.5400002,21.1130009
"139","DC 15",2013,300.0080261,23.0080013,8.967,15.9870005,3.6610003,22.078001
"140","DC 15",2014,1078.4920654,23.5810013,10.5400009,17.0600014,3.8820002,22.3310013
"141","DC 15",2015,554.8390503,23.4560013,9.9860001,16.7200012,3.7830002,22.1830006
"142","DC 15",2016,1341.9660645,22.6180019,9.7520008,16.1850014,3.5110002,20.762001
"143","DC 15",2021,1032.364624,23.1110001,9.6587,16.3848,3.9259,23.559
"144","DC 15",2022,725.5774536,23.3257999,9.6892996,16.5074997,4.6009998,23.9568996
"145","DC 16",2003,841.1810303,22.6400013,10.2450008,16.4420013,3.1990001,19.559
"146","DC 16",2004,725.8840332,22.7150002,10.0860004,16.4000015,3.5230002,20.2780018
"147","DC 16",2005,1096.6190186,22.210001,10.2820005,16.2450008,2.7400002,18.4020004
"148","DC 16",2006,981.5140381,22.2800007,10.0690002,16.1740017,3.3150001,19.7720013
"149","DC 16",2007,631.5800171,22.6800003,9.4790001,16.0790005,3.1240001,20.4060001
"150","DC 16",2008,610.4200439,22.8440018,9.7540007,16.2980003,4.1260004,21.7930012
"151","DC 16",2009,688.1600342,22.4490013,9.7930002,16.1210003,3.5150001,20.3100014
"152","DC 16",2010,1223.2930908,21.4100018,9.9560003,15.6820011,2.7650001,17.6870003
"153","DC 16",2011,816.0690308,21.4170017,9.3780003,15.3970003,2.6430001,17.7770004
"154","DC 16",2012,1245.7260742,22.6500015,10.2150002,16.4320011,3.6300001,20.4870014
"155","DC 16",2013,258.1760254,23.3190002,10.0820007,16.7000008,3.7350001,21.5970001
"156","DC 16",2014,949.0490723,23.9400005,11.6280003,17.7830009,3.9290001,21.7010002
"157","DC 16",2015,478.65802,23.7450008,11.0940008,17.4190006,3.8660002,21.427002
"158","DC 16",2016,1159.3380127,22.9220009,11.0330009,16.9770012,3.5600002,19.9250011
"159","DC 16",2021,903.1016846,23.1588993,10.4057999,16.782299,4.2160997,22.7486992
"160","DC 16",2022,634.4755859,23.5028,10.698,17.1002998,5.1040001,23.4643002
"161","DC 9",2003,841.1810303,22.6400013,10.2450008,16.4420013,3.1990001,19.559
"162","DC 9",2004,725.8840332,22.7150002,10.0860004,16.4000015,3.5230002,20.2780018
"163","DC 9",2005,1096.6190186,22.210001,10.2820005,16.2450008,2.7400002,18.4020004
"164","DC 9",2006,981.5140381,22.2800007,10.0690002,16.1740017,3.3150001,19.7720013
"165","DC 9",2007,631.5800171,22.6800003,9.4790001,16.0790005,3.1240001,20.4060001
"166","DC 9",2008,610.4200439,22.8440018,9.7540007,16.2980003,4.1260004,21.7930012
"167","DC 9",2009,688.1600342,22.4490013,9.7930002,16.1210003,3.5150001,20.3100014
"168","DC 9",2010,1223.2930908,21.4100018,9.9560003,15.6820011,2.7650001,17.6870003
"169","DC 9",2011,816.0690308,21.4170017,9.3780003,15.3970003,2.6430001,17.7770004
"170","DC 9",2012,1245.7260742,22.6500015,10.2150002,16.4320011,3.6300001,20.4870014
"171","DC 9",2013,258.1760254,23.3190002,10.0820007,16.7000008,3.7350001,21.5970001
"172","DC 9",2014,949.0490723,23.9400005,11.6280003,17.7830009,3.9290001,21.7010002
"173","DC 9",2015,478.65802,23.7450008,11.0940008,17.4190006,3.8660002,21.427002
"174","DC 9",2016,1159.3380127,22.9220009,11.0330009,16.9770012,3.5600002,19.9250011
"175","DC 9",2021,903.1016846,23.1588993,10.4057999,16.782299,4.2160997,22.7486992
"176","DC 9",2022,634.4755859,23.5028,10.698,17.1002998,5.1040001,23.4643002
