"","Site_code","vpdmin_pM","Month","Day","vpdmax_pM","Year","tmax_pM","Date","tmin_pM","tavg_pM","ppt_pM"
"23","DC 1",1.092,11,"1",NA,2004,11.9709997,2004-11-01,1.9579999,6.9630003,111.0299988
"24","DC 1",1.66,12,"1",NA,2004,10.3999996,2004-12-01,0.452,5.4250002,292.4719849
"25","DC 1",3.4100001,1,"1",17.7700005,2005,19.0890007,2005-01-01,6.5720005,12.8300009,290.8900146
"26","DC 1",1.274,2,"1",7.6090002,2005,11.6099997,2005-02-01,2.1700001,6.8890004,154.8670044
"27","DC 1",1.918,3,"1",11.3839998,2005,14.3079996,2005-03-01,2.4070001,8.3570004,356.3359985
"28","DC 1",1.173,4,"1",11.651,2005,15.3929996,2005-04-01,2.0039999,8.6970005,134.621994
"29","DC 1",2.227,5,"1",14.6719999,2005,19.2859993,2005-05-01,7.2270002,13.2560005,258.0140076
"30","DC 1",3.1570001,6,"1",19.3269997,2005,22.934,2005-06-01,9.0649996,15.9990005,91.2969971
"31","DC 1",7.5469999,7,"1",37.1329994,2005,32.4910011,2005-07-01,16.4430008,24.467001,0
"32","DC 1",9.7910004,8,"1",39.8050003,2005,32.0229988,2005-08-01,15.3529997,23.6870003,0
"33","DC 1",5.9749999,9,"1",27.2830009,2005,25.8619995,2005-09-01,9.8710003,17.8660011,16.5839996
"34","DC 1",3.3800001,10,"1",18.5149994,2005,20.9829998,2005-10-01,7.3610001,14.1720009,43.1889992
"35","DC 1",2.349,11,"1",12.8909998,2005,14.4040003,2005-11-01,4.6880002,9.5460005,163.246994
"36","DC 1",0.831,12,"1",5.947,2005,10.2119999,2005-12-01,1.969,6.0890002,858.7589722
"37","DC 1",3.9570003,1,"1",18.7520008,2006,19.073,2006-01-01,6.5470004,12.809001,356.2799988
"38","DC 1",2.3050001,2,"1",11.0039997,2006,12.8299999,2006-02-01,0.772,6.8000002,232.1089935
"39","DC 1",0.279,3,"1",4.4780002,2006,6.869,2006-03-01,-1.392,2.7380002,450.8299866
"40","DC 1",0.698,4,"1",9.1090002,2006,13.8330002,2006-04-01,3.0769999,8.4540005,467.0069885
"41","DC 1",3.609,5,"1",20.9939995,2006,23.0400009,2006-05-01,8.8319998,15.9350004,47.3839989
"42","DC 1",5.9580002,6,"1",29.8670006,2006,28.5030003,2006-06-01,13.5270004,21.0150013,0.719
"43","DC 1",10.0310001,7,"1",41.4370003,2006,33.0579987,2006-07-01,16.4810009,24.769001,0
"44","DC 1",8.1490002,8,"1",34.4760017,2006,29.8519993,2006-08-01,13.4820004,21.6660004,0
"45","DC 1",8.7349997,9,"1",33.1150017,2006,28.3369999,2006-09-01,11.8009996,20.0680008,0
"46","DC 1",4.2290001,10,"1",18.9969997,2006,20.9370003,2006-10-01,7.0560002,13.9960003,13.1750002
"47","DC 1",1.008,11,"1",7.5279999,2006,12.3959999,2006-11-01,3.7060001,8.0500002,159.2519989
"48","DC 1",1.743,12,"1",8.1049995,2006,10.1750002,2006-12-01,0.393,5.2840004,230.3860016
"49","DC 1",3.8500001,1,"1",19.6530018,2007,19.7340012,2007-01-01,6.4650002,13.0990009,64.7539978
"50","DC 1",1.1950001,2,"1",7.0929999,2007,10.4040003,2007-02-01,1.112,5.7570004,417.3919983
"51","DC 1",2.135,3,"1",14.4280005,2007,17.2819996,2007-03-01,3.401,10.3410006,41.7000008
"52","DC 1",1.671,4,"1",14.427,2007,17.6749992,2007-04-01,3.3510001,10.5120001,111.0439987
"53","DC 1",4.4530001,5,"1",23.7689991,2007,23.8299999,2007-05-01,8.4820004,16.1560001,44.8540001
"54","DC 1",5.5749998,6,"1",28.4810009,2007,27.1679993,2007-06-01,11.7720003,19.4690018,18.3439999
"55","DC 1",7.8039999,7,"1",36.0690002,2007,31.0020008,2007-07-01,15.2550001,23.1280003,0.676
"56","DC 1",9.5010004,8,"1",38.2229996,2007,31.1170006,2007-08-01,14.9770002,23.0470009,0
"57","DC 1",5.132,9,"1",26.8530006,2007,25.3670006,2007-09-01,10.1630001,17.7650013,35.9830017
"58","DC 1",2.329,10,"1",14.6700001,2007,18.6060009,2007-10-01,6.2090001,12.4070005,123.9049988
"59","DC 1",3.207,11,"1",15.4329996,2007,15.7720003,2007-11-01,5.5300002,10.651001,51.2799988
"60","DC 1",0.803,12,"1",5.5700002,2007,7.6399999,2007-12-01,-1.072,3.2830002,278.1669922
"61","DC 1",4.9560003,1,"1",21.1250019,2008,19.9760017,2008-01-01,6.7900004,13.3830004,354.8420105
"62","DC 1",1.401,2,"1",8.6350002,2008,10.7950001,2008-02-01,-0.143,5.3260002,254.7440033
"63","DC 1",1.399,3,"1",11.4729996,2008,14.3109999,2008-03-01,1.342,7.8260002,60.7750015
"64","DC 1",2.273,4,"1",16.0510006,2008,17.3899994,2008-04-01,2.122,9.7550001,19.1299992
"65","DC 1",4.105,5,"1",21.2740002,2008,22.25,2008-05-01,7.948,15.0980005,25.6410007
"66","DC 1",7.6810002,6,"1",31.6130009,2008,27.9529991,2008-06-01,12.3599997,20.1550007,0
"67","DC 1",9.7639999,7,"1",39.1769981,2008,31.8169994,2008-07-01,15.8719997,23.8430004,0
"68","DC 1",10.3809996,8,"1",40.8549995,2008,32.1339989,2008-08-01,15.632,23.8820019,0
"69","DC 1",10.302,9,"1",36.723999,2008,29.5410004,2008-09-01,12.9250002,21.2330017,0
"70","DC 1",6.579,10,"1",23.8169994,2008,23.0510006,2008-10-01,8.6400003,15.8450012,53.8260002
"71","DC 1",2.7030001,11,"1",10.6429996,2008,15.2959995,2008-11-01,5.9590001,10.6270008,187.7830048
"72","DC 1",1.709,12,"1",7.4070001,2008,8.6370001,2008-12-01,-0.357,4.1400003,218.9199982
"73","DC 1",4.5480003,1,"1",19.4750004,2009,19.5410004,2009-01-01,7.0670004,13.3040009,118.5059967
"74","DC 1",1.444,2,"1",7.2350001,2009,9.3900003,2009-02-01,0.563,4.9760003,385.6690063
"75","DC 1",1.404,3,"1",9.6809998,2009,12.3940001,2009-03-01,0.927,6.6600003,230.5709991
"76","DC 1",2.7679999,4,"1",15.6789999,2009,16.9540005,2009-04-01,2.8440001,9.8990002,62.9410019
"77","DC 1",5.131,5,"1",23.0599995,2009,23.7169991,2009-05-01,10.1949997,16.9549999,180.3390045
"78","DC 1",4.5609999,6,"1",22.7700005,2009,24.5459995,2009-06-01,11.335,17.9400005,12.1780005
"79","DC 1",10.9029999,7,"1",39.5029984,2009,31.8400002,2009-07-01,16.3700008,24.1050014,0
"80","DC 1",9.0290003,8,"1",35.4280014,2009,30.2240009,2009-08-01,15.0970001,22.6600018,0
"81","DC 1",9.3900003,9,"1",35.9650002,2009,29.8209991,2009-09-01,14.4700003,22.1450005,2.6400001
"82","DC 1",2.941,10,"1",15.0109997,2009,18.9880009,2009-10-01,6.6859999,12.8360004,112.086998
"83","DC 1",2.2909999,11,"1",11.2679996,2009,14.6709995,2009-11-01,4.336,9.5020008,67.2399979
"84","DC 1",1.146,12,"1",6.1999998,2009,8.6400003,2009-12-01,-0.347,4.1460004,250.5720062
"85","DC 1",3.2830002,1,"1",16.7680016,2010,17.8770008,2010-01-01,6.4210005,12.1480007,338.3049927
"86","DC 1",0.819,2,"1",8.9729996,2010,10.1049995,2010-02-01,1.403,5.7530003,205.6809998
"87","DC 1",1.903,3,"1",13.4230003,2010,12.3470001,2010-03-01,0.966,6.6560001,190.1080017
"88","DC 1",0.793,4,"1",9.4379997,2010,12.0550003,2010-04-01,1.391,6.7230005,272.4769897
"89","DC 1",2.1600001,5,"1",13.1590004,2010,16.6720009,2010-05-01,4.283,10.4770002,137.9129944
"90","DC 1",4.2880001,6,"1",22.5380001,2010,24.9190006,2010-06-01,11.6529999,18.2850018,6.7319999
"91","DC 1",7.3039999,7,"1",33.8100014,2010,30.7110004,2010-07-01,15.4130001,23.0620003,0
"92","DC 1",8.0150003,8,"1",32.8510017,2010,28.9230003,2010-08-01,13.8199997,21.3710003,2.8340001
"93","DC 1",7.4070001,9,"1",30.6529999,2010,27.6019993,2010-09-01,12.3380003,19.9690018,2.0420001
"94","DC 1",3.4549999,10,"1",17.4370003,2010,20.7059994,2010-10-01,9.1370001,14.9210005,261.9169922
"95","DC 1",1.788,11,"1",9.0579996,2010,12.3760004,2010-11-01,2.97,7.6730003,299.7059937
"96","DC 1",0.504,12,"1",4.3070002,2010,8.5970001,2010-12-01,1.796,5.1960001,586.5640259
"97","DC 1",3.4340003,1,"1",16.6930008,2011,18.1190014,2011-01-01,6.2950001,12.2060003,75.6480026
"98","DC 1",1.4960001,2,"1",7.7249999,2011,9.1149998,2011-02-01,-1.205,3.9540002,267.9219971
"99","DC 1",0.465,3,"1",5.1680002,2011,8.4359999,2011-03-01,0.744,4.5890002,611.7839966
"100","DC 1",0.93,4,"1",10.0900002,2011,14.1260004,2011-04-01,2.082,8.1040001,109.5049973
"101","DC 1",2.164,5,"1",13.0979996,2011,16.6030006,2011-05-01,4.6350002,10.6190004,111.8040009
"102","DC 1",3.813,6,"1",19.4669991,2011,22.9080009,2011-06-01,10.3599997,16.6330013,81.7409973
"103","DC 1",5.4569998,7,"1",28.7189999,2011,28.4330006,2011-07-01,13.8649998,21.1480007,0
"104","DC 1",8.684,8,"1",34.9529991,2011,30.2950001,2011-08-01,15.3769999,22.835001,0
"105","DC 1",8.3719997,9,"1",34.6860008,2011,29.7929993,2011-09-01,14.6120005,22.2020016,0.517
"106","DC 1",3.013,10,"1",17.0559998,2011,20.9939995,2011-10-01,8.4440002,14.7180004,133.7100067
"107","DC 1",1.6849999,11,"1",8.599,2011,12.1400003,2011-11-01,3.622,7.8800006,90.8769989
"108","DC 1",3.1530001,12,"1",10.7089996,2011,12.1350002,2011-12-01,1.556,6.8450003,7.3499999
"109","DC 1",4.8310003,1,"1",19.5950012,2012,19.5300007,2012-01-01,7.5230002,13.526001,240.2640076
"110","DC 1",1.585,2,"1",9.1160002,2012,11.6660004,2012-02-01,1.079,6.3720002,79.9349976
"111","DC 1",0.889,3,"1",6.3049998,2012,9.9820004,2012-03-01,1.397,5.6890001,543.8220215
"112","DC 1",1.858,4,"1",12.3730001,2012,16.0410004,2012-04-01,4.1729999,10.1060009,264.4620056
"113","DC 1",4.8039999,5,"1",22.0009995,2012,22.3829994,2012-05-01,8.2690001,15.3250008,19.537199
"114","DC 1",6.6209998,6,"1",26.1529999,2012,25.3610001,2012-06-01,11.6029997,18.4810009,57.0760002
"115","DC 1",9.2880001,7,"1",33.9980011,2012,29.7420006,2012-07-01,14.5780001,22.1600018,2.6229999
"116","DC 1",11.6199999,8,"1",43.2579994,2012,32.8639984,2012-08-01,16.5049992,24.6840019,0.125
"117","DC 1",9.6110001,9,"1",35.2659988,2012,30.059,2012-09-01,14.6560001,22.3570004,0
"118","DC 1",5.0250001,10,"1",20.5949993,2012,21.5550003,2012-10-01,8.7410002,15.1480007,107.7350006
"119","DC 1",2.5580001,11,"1",10.2030001,2012,14.3009996,2012-11-01,5.5009999,9.9000006,368.3989868
"120","DC 1",0.911,12,"1",4.9029999,2012,7.619,2012-12-01,0.9,4.2590003,598.302063
"121","DC 1",4.8670001,1,"1",19.3440018,2013,20.0560017,2013-01-01,7.3750005,13.7150011,39.8989983
"122","DC 1",2.3139999,2,"1",10.4750004,2013,12.1850004,2013-02-01,0.345,6.2640004,29.4179993
"123","DC 1",2.3559999,3,"1",12.3500004,2013,15.5609999,2013-03-01,4.046,9.8030005,119.9729996
"124","DC 1",3.9200001,4,"1",17.4559994,2013,19.1550007,2013-04-01,6.0669999,12.6100006,56.0079994
"125","DC 1",4.6729999,5,"1",19.8099995,2013,21.6660004,2013-05-01,9.2819996,15.4730005,36.0429993
"126","DC 1",4.8860002,6,"1",26.0249996,2013,26.5499992,2013-06-01,12.5719995,19.5600014,69.6910019
"127","DC 1",12.0010004,7,"1",36.7809982,2013,31.5879993,2013-07-01,17.1730003,24.3800011,0
"128","DC 1",8.0889997,8,"1",32.3110008,2013,29.0510006,2013-08-01,14.3879995,21.7190018,0
"129","DC 1",5.6919999,9,"1",23.9020004,2013,24.8959999,2013-09-01,11.7480001,18.3220005,56.3600006
"130","DC 1",5.3390002,10,"1",19.7320004,2013,20.698,2013-10-01,7.552,14.125001,20.1229992
"131","DC 1",4.0929999,11,"1",12.7019997,2013,15.7069998,2013-11-01,6.0549998,10.8800001,50.3050003
"132","DC 1",3.1860001,12,"1",11.2010002,2013,12.3380003,2013-12-01,-0.141,6.0980005,44.1949997
"133","DC 1",5.1830001,1,"1",19.2440014,2014,20.2730007,2014-01-01,9.1310005,14.7020006,54.4620018
"134","DC 1",1.161,2,"1",7.493,2014,11.1859999,2014-02-01,2.8640001,7.0240002,420.9179993
"135","DC 1",2.4059999,3,"1",10.7980003,2014,14.3909998,2014-03-01,4.5879998,9.4890003,283.3160095
"136","DC 1",2.7079999,4,"1",14.7559996,2014,17.7490005,2014-04-01,5.4070001,11.578001,111.586998
"137","DC 1",5.0650001,5,"1",21.1690006,2014,22.3390007,2014-05-01,9.5719995,15.9550009,28.0720005
"138","DC 1",8.7939997,6,"1",29.5639992,2014,27.2390003,2014-06-01,13.9119997,20.5750008,0
"139","DC 1",10.7869997,7,"1",36.3740005,2014,31.5289993,2014-07-01,18.2420006,24.8850002,0.791
"140","DC 1",9.599,8,"1",31.698,2014,29.2479992,2014-08-01,17.0219994,23.1340008,9.118
"141","DC 1",7.217,9,"1",28.9820004,2014,27.2639999,2014-09-01,13.3260002,20.2950001,33.7529984
"142","DC 1",6.145,10,"1",21.1490002,2014,22.4950008,2014-10-01,10.7790003,16.637001,65.0650024
"143","DC 1",2.4360001,11,"1",10.2700005,2014,14.7049999,2014-11-01,5.5929999,10.1480007,169.0939941
"144","DC 1",0.568,12,"1",4.164,2014,8.9329996,2014-12-01,3.1789999,6.0550003,440.7030029
"145","DC 1",4.9890003,1,"1",19.3950005,2015,20.4400005,2015-01-01,8.6830006,14.5610008,1.6849999
"146","DC 1",2.6370001,2,"1",12.309,2015,16.1949997,2015-02-01,5.4289999,10.8110008,202.3289948
"147","DC 1",2.763,3,"1",14.5979996,2015,18.198,2015-03-01,5.5349998,11.8660002,31.0410004
"148","DC 1",2.733,4,"1",14.533,2015,17.6369991,2015-04-01,4.9489999,11.2920008,103.4290009
"149","DC 1",2.839,5,"1",15.6899996,2015,20.0349998,2015-05-01,8.1450005,14.0900011,32.0289993
"150","DC 1",9.3559999,6,"1",31.493,2015,28.8150005,2015-06-01,14.7690001,21.7920017,12.9709997
"151","DC 1",8.5290003,7,"1",31.4360008,2015,29.4699993,2015-07-01,16.5459995,23.0070019,0.666
"152","DC 1",10.191,8,"1",35.1010017,2015,30.1009998,2015-08-01,16.5310001,23.3150005,2.4560001
"153","DC 1",9.8970003,9,"1",32.0579987,2015,27.7560005,2015-09-01,14.2139997,20.9840012,2.4200001
"154","DC 1",5.3179998,10,"1",20.6809998,2015,22.9960003,2015-10-01,11.5220003,17.2590008,37.6479988
"155","DC 1",1.9299999,11,"1",8.7089996,2015,11.9969997,2015-11-01,2.447,7.2210002,145.0460052
"156","DC 1",0.582,12,"1",4.2690001,2015,7.0770001,2015-12-01,-0.532,3.2720001,401.6459961
"157","DC 1",4.6480002,1,"1",18.2830009,2016,19.4350014,2016-01-01,7.8130002,13.6230011,490.302002
"158","DC 1",2.802,2,"1",13.1020002,2016,15.5159998,2016-02-01,3.342,9.4290009,64.4960022
"159","DC 1",0.949,3,"1",8.3360004,2016,13.1339998,2016-03-01,3.145,8.1380005,497.0450134
"160","DC 1",2.5090001,4,"1",14.1820002,2016,18.2539997,2016-04-01,6.2740002,12.2630005,87.3079987
"161","DC 1",3.1429999,5,"1",15.7700005,2016,20.1560001,2016-05-01,8.7600002,14.4580011,60.8639984
"162","DC 1",8.3389997,6,"1",29.5709991,2016,27.4330006,2016-06-01,14.2469997,20.8390007,3.6489999
"163","DC 1",11.6029997,7,"1",36.598999,2016,30.3570004,2016-07-01,14.96,22.6580009,0
"164","DC 1",12.3409996,8,"1",37.2869987,2016,30.8129997,2016-08-01,15.8970003,23.3550014,0
"165","DC 1",7.6599998,9,"1",29.9729996,2016,27.2670002,2016-09-01,12.2209997,19.743,0.795
"166","DC 1",2.6719999,10,"1",13.4049997,2016,17.8999996,2016-10-01,7.776,12.8380003,383.4599915
"167","DC 1",1.892,11,"1",9.8540001,2016,14.2040005,2016-11-01,4.9819999,9.592,202.9019928
"168","DC 1",1.3150001,12,"1",6.402,2016,9.5010004,2016-12-01,0.777,5.1390004,383.5799866
"169","DC 1",4.9991999,1,"1",20.7573986,2021,20.2427998,2021-01-01,8.4099998,14.3262997,187.8934937
"170","DC 1",1.4283,2,"1",8.0809994,2021,10.7854996,2021-02-01,1.2487,6.0169997,127.848999
"171","DC 1",1.4329,3,"1",9.7382002,2021,12.1040993,2021-03-01,1.0302,6.5671,122.789299
"172","DC 1",3.5116999,4,"1",17.5697002,2021,19.6127987,2021-04-01,5.342,12.4772997,12.5155993
"173","DC 1",4.6651001,5,"1",22.8795986,2021,23.4862995,2021-05-01,9.7234993,16.6047993,5.2167001
"174","DC 1",8.1688995,6,"1",35.1002998,2021,29.8403988,2021-06-01,15.2790995,22.5597,0.9994
"175","DC 1",12.9177999,7,"1",43.6819,2021,33.487999,2021-07-01,18.6353989,26.0615997,0
"176","DC 1",11.3495998,8,"1",39.0172005,2021,31.7354984,2021-08-01,17.5858994,24.6605988,0
"177","DC 1",8.1112995,9,"1",34.5239983,2021,29.218399,2021-09-01,14.5929995,21.9055996,26.2768002
"178","DC 1",3.0019,10,"1",13.4045,2021,17.6057987,2021-10-01,7.3312998,12.4685001,399.0994873
"179","DC 1",2.273,11,"1",11.1698999,2021,16.0074005,2021-11-01,6.5569,11.2820997,77.9721985
"180","DC 1",1.4532995,12,"1",6.0734997,2021,8.8483,2021-12-01,1.6215999,5.2349,502.8321838
"181","DC 1",5.5030999,1,"1",20.2332001,2022,20.289299,2022-01-01,8.4931002,14.3910999,43.6767006
"182","DC 1",3.6943998,2,"1",13.2156992,2022,14.5113993,2022-02-01,2.4173999,8.4643002,14.0880995
"183","DC 1",1.9486001,3,"1",11.9226999,2022,15.5878,2022-03-01,3.7486,9.6681995,37.868
"184","DC 1",2.2424002,4,"1",13.1876993,2022,16.0818005,2022-04-01,4.6348,10.3583002,199.8755951
"185","DC 1",4.3298006,5,"1",18.924799,2022,20.612999,2022-05-01,7.8343997,14.2235994,9.4123993
"186","DC 1",7.4660997,6,"1",27.3514996,2022,26.3822994,2022-06-01,13.2142992,19.7981987,33.5566978
"187","DC 1",11.0163994,7,"1",36.0303001,2022,31.0241985,2022-07-01,16.4025993,23.7132988,0
"188","DC 1",11.1097994,8,"1",38.0358009,2022,32.0062981,2022-08-01,18.177,25.0915985,1.3166
"189","DC 1",9.7959003,9,"1",33.5615997,2022,28.8687992,2022-09-01,15.8224993,22.3456001,42.1203003
"190","DC 1",8.0031996,10,"1",25.9524002,2022,24.9384003,2022-10-01,12.0862999,18.5122986,0
"191","DC 1",2.8885999,11,"1",9.0476999,2022,11.6071997,2022-11-01,2.9942,7.3006001,135.9100952
"192","DC 1",0.9361,12,"1",4.9682999,2022,8.6403999,2022-12-01,1.7613,5.2007999,559.3294678
"1429","DC 2",3.2540002,1,"1",17.3630009,2003,19.8310013,2003-01-01,7.3890004,13.6090002,120.1320038
"1430","DC 2",0.993,2,"1",8.1300001,2003,12.6140003,2003-02-01,0.852,6.7320004,94.2389984
"1431","DC 2",0.884,3,"1",9.5439997,2003,14.8900003,2003-03-01,2.3699999,8.6290007,160.5119934
"1432","DC 2",0.51,4,"1",6.421,2003,11.6700001,2003-04-01,2.0929999,6.8810005,298.4890137
"1433","DC 2",2.448,5,"1",16.3850002,2003,20.7059994,2003-05-01,7.5339999,14.1190004,70.6610031
"1434","DC 2",4.1900001,6,"1",25.6889992,2003,27.8990002,2003-06-01,13.0670004,20.4830017,0
"1435","DC 2",8.5469999,7,"1",37.2280006,2003,32.5960007,2003-07-01,16.5100002,24.5530014,0
"1436","DC 2",4.9959998,8,"1",27.927,2003,28.8439999,2003-08-01,14.2340002,21.5390015,45.6910019
"1437","DC 2",7.8530002,9,"1",33.1949997,2003,29.6159992,2003-09-01,14.0310001,21.8230019,4.7459998
"1438","DC 2",6.3740001,10,"1",25.8349991,2003,25.7329998,2003-10-01,10.4569998,18.0940018,6.402
"1439","DC 2",0.793,11,"1",6.4679999,2003,10.9910002,2003-11-01,1.89,6.4400005,127.6259995
"1440","DC 2",0.527,12,"1",4.039,2003,8.4280005,2003-12-01,1.7,5.0640001,485.7789917
"1441","DC 2",3.5330002,1,"1",18.4080009,2004,19.9410019,2004-01-01,7.2070003,13.5730009,182.7839966
"1442","DC 2",0.696,2,"1",NA,2004,9.901,2004-02-01,1,5.4500003,347.8569946
"1443","DC 2",2.4519999,3,"1",NA,2004,19.6949997,2004-03-01,5.4860001,12.5900002,59.1879997
"1444","DC 2",2.6459999,4,"1",NA,2004,19.3840008,2004-04-01,5.71,12.5470009,34.5229988
"1445","DC 2",2.4159999,5,"1",NA,2004,22.1310005,2004-05-01,7.7930002,14.9620008,23.6709995
"1446","DC 2",4.9840002,6,"1",NA,2004,27.4669991,2004-06-01,12.6669998,20.0660019,4.4489999
"1447","DC 2",7.1009998,7,"1",NA,2004,30.8729992,2004-07-01,15.2469997,23.0590019,2.3069999
"1448","DC 2",8.1920004,8,"1",NA,2004,30.4549999,2004-08-01,14.8219995,22.6380005,0
"1449","DC 2",7.381,9,"1",NA,2004,27.4169998,2004-09-01,11.6619997,19.5390015,8.9560003
"1450","DC 2",3.4189999,10,"1",NA,2004,19.0170002,2004-10-01,7.5409999,13.2780008,206.8249969
"1451","DC 2",0.814,11,"1",NA,2004,12.7609997,2004-11-01,2.279,7.5190005,104.5139999
"1452","DC 2",1.727,12,"1",NA,2004,10.7089996,2004-12-01,1.841,6.2740002,312.3989868
"1453","DC 2",2.8230002,1,"1",16.6130009,2005,19.3070011,2005-01-01,7.2560005,13.2810011,269.4570007
"1454","DC 2",1.28,2,"1",7.3010001,2005,12.4020004,2005-02-01,3.3800001,7.8910003,152.3159943
"1455","DC 2",1.615,3,"1",10.908,2005,15.052,2005-03-01,3.3110001,9.1810007,327.2799988
"1456","DC 2",1.007,4,"1",10.9099998,2005,15.6309996,2005-04-01,3.0109999,9.3200006,108.9339981
"1457","DC 2",1.674,5,"1",13.6269999,2005,19.5839996,2005-05-01,8.0120001,13.7970009,233.6360016
"1458","DC 2",2.0150001,6,"1",19.0970001,2005,23.559,2005-06-01,9.3929996,16.4750004,56.362999
"1459","DC 2",6.5929999,7,"1",35.1549988,2005,32.3919983,2005-07-01,16.927,24.6590004,0
"1460","DC 2",8.7410002,8,"1",37.3380013,2005,31.6060009,2005-08-01,15.5220003,23.5640011,0
"1461","DC 2",4.98,9,"1",25.1609993,2005,25.5410004,2005-09-01,10.4169998,17.9780006,16.3630009
"1462","DC 2",2.6289999,10,"1",16.6009998,2005,20.6760006,2005-10-01,7.7220001,14.1990004,35.2010002
"1463","DC 2",2.0050001,11,"1",12.9759998,2005,15.0080004,2005-11-01,5.198,10.1020002,128.1119995
"1464","DC 2",0.5,12,"1",4.6389999,2005,10.3719997,2005-12-01,2.688,6.5290003,763.5390015
"1465","DC 2",3.4690001,1,"1",17.6170006,2006,19.210001,2006-01-01,7.0840001,13.1460009,290.4670105
"1466","DC 2",1.622,2,"1",10.085,2006,13.2010002,2006-02-01,1.3,7.2500005,196.5330048
"1467","DC 2",0.32,3,"1",4.8179998,2006,7.9910002,2006-03-01,-0.232,3.8800001,438.2619934
"1468","DC 2",0.732,4,"1",8.4449997,2006,14.1660004,2006-04-01,4.29,9.2270002,377.3059998
"1469","DC 2",3.039,5,"1",19.743,2006,23.125,2006-05-01,9.4429998,16.2830009,45.9459991
"1470","DC 2",5.013,6,"1",27.9489994,2006,28.3589993,2006-06-01,13.5559998,20.9560013,0
"1471","DC 2",9.3269997,7,"1",39.9609985,2006,32.8440018,2006-07-01,16.8099995,24.8260021,0
"1472","DC 2",7.5929999,8,"1",32.8330002,2006,29.5669994,2006-08-01,13.7950001,21.6810017,0
"1473","DC 2",8.0209999,9,"1",31.382,2006,28.2169991,2006-09-01,12.3479996,20.2810001,0
"1474","DC 2",3.4319999,10,"1",17.5480003,2006,20.6000004,2006-10-01,6.915,13.7570009,18.4209995
"1475","DC 2",0.803,11,"1",6.6409998,2006,12.7989998,2006-11-01,4.1290002,8.4630003,153.2550049
"1476","DC 2",1.2819999,12,"1",6.6079998,2006,10.0509996,2006-12-01,0.863,5.4560003,250.6260071
"1477","DC 2",3.3220003,1,"1",18.6500015,2007,19.8400002,2007-01-01,6.8280005,13.3340006,44.9449997
"1478","DC 2",0.891,2,"1",6.6069999,2007,11.0430002,2007-02-01,1.867,6.4540005,399.2290039
"1479","DC 2",1.839,3,"1",14.0889997,2007,18.1159992,2007-03-01,4.1339998,11.1240005,37.4309998
"1480","DC 2",1.4579999,4,"1",14.1990004,2007,18.243,2007-04-01,4.0029998,11.1220007,113.6600037
"1481","DC 2",3.734,5,"1",22.4629993,2007,23.7180004,2007-05-01,8.9460001,16.3320007,46.0270004
