Stream,Lab_log,Site_code,Month,Day,Year,Number_of_collections,Fraction_Size,Class_order,Family,Subfamily_tribe,Genus,Species,Tally,Sample_density,Large_rare,Unique,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Hydroptilidae,,Hydroptila,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Rhyacophilidae,,Rhyacophila,betteni group,3,5,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Glossosomatidae,,Glossosoma,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Rhyacophilidae,,Rhyacophila,brunnea_vemna group,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Plecoptera,Perlidae,,Hesperoperla,pacifica,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Plecoptera,Perlidae,,Calineuria,californica,5,8,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Plecoptera,Capniidae,,,,5,8,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Plecoptera,Perlodidae,,,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Plecoptera,Chloroperlidae,,Sweltsa,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Megaloptera,Corydalidae,,Orohermes,crepusculus,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Megaloptera,Sialidae,,Sialis,,3,5,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Odonata,Aeshnidae,,,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Odonata,Coenagrionidae,,Argia,,33,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Odonata,Gomphidae,,Octogomphus,specularis,4,6,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Odonata,Libellulidae,,Brechmorhoga_Paltothemis,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Psephenidae,,Eubrianax,edwardsii,10,16,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Optioservus,,63,101,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Microcylloepus,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Zaitzevia,,29,46,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Ordobrevia,nubifera,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Ampumixis,dispar,6,10,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Elmidae,,Atractelmis,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Coleoptera,Eulichadidae,,Stenocolus,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Ceratopogonidae,,Dasyhelea,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Lebertiidae,,Lebertia,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Sperchonidae,,Sperchon,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Torrenticolidae,,Monatractides,,7,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Hydrodromidae,,Hydrodroma,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Hygrobatidae,,Hygrobates,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Mideopsidae,,Mideopsis,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trombidiformes,Stygothrombiidae,,Stygothrombium,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Tanypodinae,Ablabesmyia,,7,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Tanypodinae,Alotanypus,,4,6,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Tanypodinae,Labrundinia,,4,6,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Tanypodinae,Procladius,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Tanypodinae,Thienemannimyia group,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Corynoneura,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Cricotopus,,8,13,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Cricototopus_Nostococladius,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Cricotopus_Orthocladius,,38,61,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,,3,5,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,devonica group,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Orthocladius,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Parametriocnemus,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Orthocladiinae,Thienemanniella,,5,8,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Chironomini,,,4,6,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Chironomini,Pagastiella,,69,110,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Chironomini,Polypedilum,,7,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Tanytarsini,,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Tanytarsini,Rheotanytarsus,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Tanytarsini,Stempellinella,,3,5,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Tanytarsini,Tanytarsus,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Chironomidae,Chironominae Tanytarsini,Tvetenia,bavarica group,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Oligochaeta,Oligochaeta,,,,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ostracoda,Ostracoda,,,,0,0,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Ephemerellidae,,Drunella,doddsii,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Heptageniidae,,Epeorus,,23,245,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Heptageniidae,,Epeorus,albertae,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Ephemerellidae,,Matriella,teresa,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Baetidae,,Diphetor,hageni,19,203,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Heptageniidae,,Rhithrogena,,20,213,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Leptohyphidae,,Tricorythodes,,11,117,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Ephemerellidae,,,,16,171,N,Y,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Heptageniidae,,Afghanurus,,7,75,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Baetidae,,Baetis,tricaudatus complex,75,800,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Baetidae,,Anafroptilum_Procloeon,,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Ephemeroptera,Baetidae,,Baetis,,38,405,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Perlidae,,Calineuria,californica,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Perlodidae,,,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Peltoperlidae,,Yoraperla,,4,43,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Perlidae,Acroneuriinae,Hesperoperla,pacifica,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Nemouridae,,Malenka,,4,43,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Nemouridae,,Zapada,cinctipes,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Capniidae,,,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Plecoptera,Chloroperlidae,,Sweltsa,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Limnephilidae,,Psychoglypha,bella,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Glossosomatidae,,Glossosoma,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Rhyacophilidae,,Rhyacophila,angelita group,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Helicopsychidae,,Helicopsyche,,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Hydroptilidae,,Hydroptila,,25,267,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Hydropsychidae,,Cheumatopsyche,,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Brachycentridae,,Micrasema,,7,75,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Lepidostomatidae,,Lepidostoma,canthum_pluviale group,21,224,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Hydropsychidae,,Hydropsyche,,14,149,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Lepidostomatidae,,Lepidostoma,unicolor group,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Psephenidae,,Psephenus,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Psephenidae,,Eubrianax,edwardsii,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Optioservus,,40,427,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Zaitzevia,,13,139,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Ampumixis,dispar,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Megaloptera,Sialidae,,Sialis,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Ordobrevia,nubifera,9,96,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Microcylloepus,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Coleoptera,Elmidae,,Atractelmis,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Simuliidae,,Simulium,,7,75,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Tipulidae,,Antocha,,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Tricladida,Planariidae,,Polycelis,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Odonata,Coenagrionidae,,Argia,,1,11,Y,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Rhyacophilidae,,Rhyacophila,betteni group,1,11,Y,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trichoptera,Limnephilidae,,Discomoecus,gilvipes,1,11,Y,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Megaloptera,Corydalidae,,Orohermes,crepusculus,1,11,Y,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trombidiformes,Sperchontidae,,Sperchonopsis,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trombidiformes,Sperchonidae,,Sperchon,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Arachnida,Aturidae,,Aturus,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trombidiformes,Torrenticolidae,,Monatractides,,7,75,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Trombidiformes,Hygrobatidae,,Atractides,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Tanypodinae,,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Tanypodinae,Pentaneura,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Tanypodinae,Thienemannimyia group,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Tanypodinae,Zavrelimyia,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Diamesinae,Potthastia,gaedii group,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Diamesinae,Pseudodiamesa,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,,,6,64,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Cricotopus_Orthocladius,,26,277,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,,14,149,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,brehmi group,22,235,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,claripennis group,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,devonica group,4,43,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Paracricotopus,,21,224,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Synorthocladius,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Thienemanniella,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Orthocladiinae,Tvetenia,bavarica group,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Chironomini,,,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Chironomini,Dicrotendipes,,1,11,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,rydalensis group,3,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,obediens group,33,352,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Tanytarsini,,,7,75,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Tanytarsini,Micropsectra,,2,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Tanytarsini,Rheotanytarsus,,10,107,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Tanytarsini,Stempellinella,,6,64,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25100,OC,7,20,2022,11,0.09375,Diptera,Chironomidae,Chironominae Tanytarsini,Tanytarsus,,5,53,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25222,OC,10,23,2022,11,0.25,Oligochaeta,Oligochaeta,,,,11,44,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25222,OC,10,23,2022,11,0.25,Ostracoda,Ostracoda,,,,0,0,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25222,OC,10,23,2022,11,0.25,Ephemeroptera,Heptageniidae,,Ironodes,,8,32,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,25222,OC,10,23,2022,11,0.25,Ephemeroptera,Baetidae,,Diphetor,hageni,2,8,N,N,,,,,,,,,,,,,,,,,,,,
