Class_order,Family,Subfamily_tribe,Genus,Species,Notes,,,,,,,,,,,,,,,,,,,
Trichoptera,Calamoceratidae,,Heteroplectron,californicum,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydropsychidae,,Hydropsyche,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,,Hydroptila,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Lepidostomatidae,,Lepidostoma,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Lepidostomatidae,,Lepidostoma,cacadense,,,,,,,,,,,,,,,,,,,,
Trichoptera,Lepidostomatidae,,Lepidostoma,canthum_pluviale group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Lepidostomatidae,,Lepidostoma,unicolor,,,,,,,,,,,,,,,,,,,,
Trichoptera,Lepidostomatidae,,Lepidostoma,unicolor group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,,Leucotrichia,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Brachycentridae,,Micrasema,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Leptoceridae,,Mystacides,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Thremmatidae,,Neophylax,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,,Ochrotrichia,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Leptoceridae,,Oecetis,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Thremmatidae,,Oligophlebodes,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Onocosmoecus,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydropsychidae,,Parapsyche,elsis,,,,,,,,,,,,,,,,,,,,
Trichoptera,Polycentropidae,,Polycentropus_Plectrocnemia,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Polycentropidae,,Polycentropus,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Psychoglypha,bella,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,angelita,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,angelita group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,arnaudi,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,betteni ,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,betteni group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,brunnea ,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,brunnea_vemna ,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,brunnea_vemna group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,coloradensis,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,coloradensis group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,grandis,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,hyalinata,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,narvae,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,sibirica ,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,vagrita,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,vofixa,,,,,,,,,,,,,,,,,,,,
Trichoptera,Rhyacophilidae,,Rhyacophila,brunnea_vemna group,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,,Stactobiella,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,,Oxyethira,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Psychomyiidae,,Tinodes,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Philopotamidae,,Wormaldia,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Glossosomatidae,,Protoptila,coloma,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Discomoecus,gilvipes,,,,,,,,,,,,,,,,,,,,
Trichoptera,Odontoceridae,,Marilia,,,,,,,,,,,,,,,,,,,,,
Tricladida,Planariidae,,Polycelis,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Hygrobatidae,,Atractides,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Axonopsidae,,Brachypoda,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Lebertiidae,,Estelloxus,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Elyaidae,,Eylais,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Feltriidae,,Feltria,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Hygrobatidae,,Hygrobates,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Mideopsidae,,Mideopsis,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Mideopsidae,,Mideopsis,gladiator,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Stygothrombiidae,,Stygothrombium,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Protziidae,,Protzia,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Torrenticolidae,,Testudacarus,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Unionicolidae,,Unionicola,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Anisitsiellidae,,Utaxatax,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Hydrachnida,,Woolastookia,,Hydrachnida is NOT the family but is the  people lump mites into. Please use Hydrachnida in family though for consistency.,,,,,,,,,,,,,,,,,,,
Trombidiformes,Lebertiidae,,Lebertia,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Torrenticolidae,,Monatractides,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Sperchonidae,,Sperchon,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Hydrodromidae,,Hydrodroma,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Sperchontidae,,Sperchonopsis,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Torrenticolidae,,Torrenticola,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Unionicolidae,,Koenikea,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Limnesiidae,,Limnesia,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Unionicolidae,,Neumania,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,Unionicolidae,,Neumania,,,,,,,,,,,,,,,,,,,,,
Trombidiformes,,,,,,,,,,,,,,,,,,,,,,,,
Turbellaria,,,,,,,,,,,,,,,,,,,,,,,,
Venerida,Cyrenidae,,Corbicula,,,,,,,,,,,,,,,,,,,,,
