Date,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4
d_20050801,21.6,13.8,4.7,2.1,0.5,38.9,26.5,12.1,6.6,2.3
d_20050901,24,14.8,4.6,1.7,0.4,34.6,23.2,9.7,4.3,0.9
d_20051001,25.7,17.2,7.7,4.2,1.7,35.1,22.7,8.9,4.5,1.7
d_20051101,27.5,19.7,9.1,4.9,2,35.4,24,9.3,4.6,2.1
d_20051201,30.3,22.1,11.4,7.1,3.4,36.3,26.2,13,8.1,3.6
d_20060101,29.9,22,11.2,7,3,36.1,26.7,14.3,8.7,3.5
d_20060201,32.9,23.8,11.9,6.9,3.1,31.8,21.8,8.3,4.4,2.4
d_20060301,34.4,21.8,9.2,4.7,1.5,24.8,16.9,6.6,3.2,1.4
d_20060401,34.1,23.4,9.3,4,1.4,29.1,21.7,12,6.9,2.3
d_20060501,50.1,39.2,19.8,10.4,3.7,26.7,20.1,10.7,5.8,2.1
d_20060601,49.4,38.8,20.1,11.2,4.3,24.5,18.2,10.2,6,3.4
d_20060701,55.2,43.3,23.6,13.8,5.7,20.8,16.5,9,4.6,1.5
d_20060801,49.9,36,16.5,8.9,3.7,21.7,16.3,8,4,1
d_20060901,37.6,25.1,11,6,1.9,22.6,13.7,4.5,2.2,0.7
d_20061001,34.6,23.5,9.8,5,1.4,25.8,17.3,7.3,4,1.6
d_20061101,29.4,19.5,8.5,4.6,1.8,32.5,23,10,5.4,1.9
d_20061201,29.4,19.3,7.3,3.3,0.9,30.3,21.7,11.2,6.6,2.4
d_20070101,37.5,26.6,11.9,6.1,1.9,29.6,22.4,13.9,9.4,4.2
d_20070201,32.7,22.9,9.7,4.7,1.7,33.2,24.5,14,9,3.9
d_20070301,27,19.7,10.1,5.5,2.1,40,29.7,15.1,8.2,3
d_20070401,25.5,18.6,9,4.9,2.1,46.1,35.4,18.6,11.2,4.2
d_20070501,28.6,22.6,12.3,7,2.8,45.6,36.4,18.6,10.4,4.3
d_20070601,33.1,26.8,14.5,8.7,3.6,40.7,31.5,16.4,9,3.1
d_20070701,40.3,31.5,18,11.6,5.6,31,23.4,13.4,9.3,5.4
d_20070801,43.6,35.8,21.9,14.5,7.9,32.7,26.8,17.8,13.4,8.3
d_20070901,44.5,35.9,20.7,13.4,7.5,27.9,22,12.8,8.3,4.3
d_20071001,37.7,26.7,13.8,9.1,5,28.2,21.5,12.4,7.4,3.2
d_20071101,42.6,32,17.6,11.3,5.8,26.9,20.1,10.3,6,2.5
d_20071201,28.8,18.6,7.9,5,2.6,28.5,19.9,8.2,3.8,1.1
d_20080101,25.8,17,8.3,5.7,3.3,29.6,19.3,7.2,3.2,0.9
d_20080201,22.8,15.5,7.2,4.2,1.5,30.3,18.5,7.3,3.8,1.2
d_20080301,26.1,17.1,7.9,4.7,1.9,30.5,20.9,10,6,2.5
d_20080401,32.7,20.9,7.4,3.5,1.2,29.7,23.4,14.6,9.5,4.5
d_20080501,28.2,17.7,6.7,3.3,0.9,34.3,25.3,12.7,6.9,2.4
d_20080601,32.2,21.4,8.9,4.9,1.8,35.3,28.1,17.9,12.7,7
d_20080701,34.1,22.4,7.8,3.5,0.9,30.1,23.5,15.8,11.9,6.4
d_20080801,21.7,11.8,3,0.9,0.1,36.1,27.1,16.3,11.8,6.6
d_20080901,28.3,17.5,5.9,2.4,0.5,31.4,23.3,14.3,10.6,5.8
d_20081001,33.3,25.5,14.2,8.1,3.1,35.9,26.6,15.7,11.1,5.9
d_20081101,33.4,25.1,13.4,7.7,3.1,32,22.9,12.2,7.4,2.8
d_20081201,26,16.4,5.6,2.7,1,36.2,26.3,13.7,8.1,2.9
d_20090101,26.8,17.4,6.7,3.2,0.9,33.8,24.4,11.9,6.4,2.2
d_20090201,33.6,21.3,7.6,3.7,1.2,29.2,21.4,11.7,7.1,3
d_20090301,30.8,18.2,5.6,2.1,0.5,30.2,21.4,10.5,6.8,3.3
d_20090401,29,17,4.3,1.4,0.3,34,24.9,12.4,7.5,3.6
d_20090501,25.5,14.2,4.2,2.1,0.6,28.6,19.3,8.9,5.6,3
d_20090601,22.2,12.8,4.4,2.6,1.1,31.8,20.3,7.6,3.6,1.1
d_20090701,20.5,10.9,4.2,2.6,1.4,31.8,20.1,7.3,3.1,0.8
d_20090801,24.3,14.6,5.2,2.7,1.5,35.1,24.1,10.4,5.7,2.3
d_20090901,30.2,20.2,8.3,4.5,1.2,29.3,18.1,6.2,2.7,0.7
d_20091001,17.5,11.8,5.8,3.6,1.6,46,34.8,19.1,12.1,5.9
d_20091101,19,12.9,8,6.5,5,44.4,33.7,18.6,11.9,5.2
d_20091201,17.7,10.9,4.3,2.5,0.9,45.3,35.6,21.3,14.8,7.7
d_20100101,12.5,5.9,1,0.2,0,46.4,34.5,19.6,13.4,7.8
d_20100201,12.8,7.1,2,0.8,0.1,51.4,37.7,19.6,12.3,5.6
d_20100301,18.5,11.7,4.2,1.9,0.4,48.3,36,19.6,12.3,5.8
d_20100401,15.3,8.9,2.8,1,0,45.8,32.6,16.6,9.7,3.4
d_20100501,12.3,7.5,2.8,1.4,0.4,50.2,35.1,16.4,9,2.6
d_20100601,5.1,1.7,0.1,0,0,56,39.6,19.1,11.5,4.5
d_20100701,13.5,6.5,1.4,0.5,0.1,44.5,30.2,13.8,8,3.8
d_20100801,8.9,3.8,0.7,0.2,0,49.8,33.9,15.6,9.3,4.5
d_20100901,15.2,8,2.7,1.2,0.2,45.9,32.4,15.8,9.4,4.1
d_20101001,17.7,10.8,4.4,2.3,0.7,42.9,29.4,13.4,7.2,2.4
d_20101101,18.6,11.9,4.6,2,0.4,44.6,31.7,14,6.9,1.9
d_20101201,20.8,14.6,6.5,3.6,1.4,50.2,40.7,23.8,13.9,5.3
d_20110101,22.7,15.1,6.2,3,0.8,43.4,33,17.6,10.7,4.9
d_20110201,24.9,18.2,9.2,5,1.6,41.1,30,15.4,9.8,5.4
d_20110301,27.5,18.1,7.5,4,1.3,40.3,30.3,14.7,8.2,3.9
d_20110401,29.9,23.9,13,8.1,3.6,46.2,36.1,19.6,11.8,5.9
d_20110501,28.5,24.9,18.5,14.1,8.1,53.8,45.3,29.1,19.9,10.8
d_20110601,31.9,28.8,23.4,19.7,13.7,52.5,43.9,25.8,17.6,9.4
d_20110701,32,28.2,21.5,18,13.1,50.2,41.4,24.6,16,7.9
d_20110801,32.1,28.6,22.8,18.9,14,49.4,40,23.6,15.7,8.2
d_20110901,33,27.5,19.7,16,12.1,40.3,30.9,18.9,13.5,7.8
d_20111001,30.7,25.9,18.4,14.5,11.2,46.3,37.4,22.1,15.7,9.9
d_20111101,29.5,24.2,16.8,13.5,10.1,46.5,36.7,21.9,16.1,10.4
d_20111201,33.7,25.2,14.3,10.6,6.5,36.5,29.1,19.3,14.9,9.5
d_20120101,37.2,26,13.7,9,4.9,29.4,22.6,13.3,8.5,4.1
d_20120201,43.5,30.8,15.3,8.6,3.1,20.1,14.3,6.9,4.1,2
d_20120301,38,26.3,11.5,5.6,1.2,21.3,13.5,5.9,3.5,1.5
d_20120401,38.3,25.8,10.2,4.9,1.2,21.6,13.6,6,3.5,1.6
d_20120501,35.2,20.9,7.3,3.9,1.4,18.2,10.6,3.7,1.9,0.7
d_20120601,43.7,28.2,11,5.7,2.2,14.5,7,1.9,0.9,0.3
d_20120701,46.9,32.8,14.6,8.2,3.3,12.6,6.8,2.2,1.2,0.5
d_20120801,53.4,39.3,19.2,11.1,5.2,13.7,8.5,2.8,1.4,0.5
d_20120901,54.3,42.1,23.6,14.7,7.2,14.7,9.6,4,2,0.6
d_20121001,51.6,39.9,22.6,14.4,7,16.4,11.1,5.4,3,0.9
d_20121101,55.9,45.1,26.9,18,9.3,14.9,10.6,4.9,2.7,0.9
d_20121201,52.2,42.3,25.6,17.3,8.8,17.7,11.8,3.9,1.5,0.3
d_20130101,48.3,38.6,24.3,17.2,9.7,17.2,10.4,3.4,1.3,0.3
d_20130201,49.6,37.6,21.1,14.3,8.3,15.5,9.4,3.7,2,0.9
d_20130301,50,36.9,19.6,12.8,6.7,12.8,7.1,2.5,1.4,0.5
d_20130401,48.1,35.3,17.9,9.8,3.5,17.9,11.6,4.6,2.2,0.6
d_20130501,39.2,27.7,12.5,6.4,2.2,25.1,17.4,7.8,4.3,1.5
d_20130601,38.4,30,15.7,8.6,3.5,32,23.9,12.9,8.1,3.9
d_20130701,32.3,20.7,7.1,3,0.7,32.9,24.1,10.9,6.1,2.2
d_20130801,28.6,18.6,5.7,2,0.2,39.4,30.7,16.5,9.7,4
d_20130901,18.9,12.2,6.1,4,2,39.3,27.6,12.8,6.8,2.3
d_20131001,19.4,12.9,5.5,3.3,1.3,39.1,26.7,12,6.5,2.3
d_20131101,17.4,10.7,4.3,2.2,0.8,39.9,26.3,11.5,6.1,2.1
d_20131201,15.7,10,4.8,3.6,2.4,46.1,32.7,15.8,9.2,3.4
d_20140101,22.2,13.7,6.2,4.4,3.2,37.8,26.6,12.1,7.2,2.9
d_20140201,22.5,14.3,6.7,3.9,1.3,37.1,25.2,10.9,5.1,1.3
d_20140301,23.9,15.7,7.7,4.7,1.8,31.4,20.1,9.2,5.8,3
d_20140401,27,17.7,6.5,2.8,0.7,28.5,18.2,8.4,5.4,2.8
d_20140501,28.5,19.9,9,4.7,1.5,29.7,19,8.4,4.9,1.8
d_20140601,33.6,24.4,12.5,6.6,2,31.3,22.1,11.2,6.8,2.8
d_20140701,32.1,21.2,7.6,3.3,1.1,25.3,15.1,5.2,2.2,0.7
d_20140801,25.8,17.2,6.6,2.8,0.6,35.3,23.4,8.9,4.1,0.9
d_20140901,19.4,10,2.3,0.7,0.1,36.6,22.9,7.6,3.1,0.6
d_20141001,12.3,5.3,1,0.2,0,43.6,28,10.1,4.7,1.5
d_20141101,11.3,4.6,0.9,0.2,0,39.5,23.9,7.5,3,0.7
d_20141201,6.4,2,0.2,0,0,43,25.7,8.1,3.3,0.8
d_20150101,9.5,3.4,0.4,0.1,0,37.1,21.6,5.9,2.1,0.3
d_20150201,11.9,5.4,1.3,0.5,0.1,37,22.3,7.4,2.7,0.6
d_20150301,23,13.1,4.7,2.2,0.7,27.5,15.8,4.4,1.7,0.2
d_20150401,20.3,11.4,4.2,2,0.6,30.6,19.2,6.8,3.1,1.1
d_20150501,19.5,10.7,2.9,1.2,0.3,38.2,27.4,15,9.7,4.4
d_20150601,17.8,9,2,0.5,0.1,42.1,29.4,14.7,8.8,3.3
d_20150701,14.9,7.3,1.4,0.3,0,44.4,33.6,18.8,12.2,5.6
d_20150801,16.6,9.3,2.6,1,0.1,45.8,34.6,18.5,11.1,4.8
d_20150901,21.2,14.3,7,4.4,1.6,41.4,29.7,13.9,7.7,2.7
d_20151001,15.7,10.2,3.9,1.7,0.5,49.3,35.6,17.7,10.9,4.8
d_20151101,12.3,8.4,3.9,2.2,0.7,60.2,47.1,26.1,16.4,7.4
d_20151201,4.8,2.2,0.6,0.3,0.1,72.9,60.7,37,25.3,13.8
d_20160101,3.2,1.5,0.5,0.2,0,73.3,58.8,35.1,22.8,11.4
d_20160201,6.5,2.6,0.6,0.3,0.1,57,42.8,22.7,13.4,5.5
d_20160301,7.2,3.2,0.4,0.1,0,56.7,41.3,19.9,11.2,3.8
d_20160401,7.2,2.8,0.3,0,0,56.2,41.8,21.6,12.9,5.7
d_20160501,4.6,1.8,0.2,0.1,0,59.6,43.5,21.2,13.4,6.6
d_20160601,7.4,3.3,0.7,0.1,0,56.1,41.9,20.8,12.9,5.8
d_20160701,13.6,7.4,1.6,0.5,0.1,50.6,38.5,20.5,11.8,4
d_20160801,13.5,6.4,1,0.2,0,48.9,36.7,18.6,10.3,3.4
d_20160901,20.3,12.2,3.8,1.8,0.4,40,28,12.4,6.7,2.3
d_20161001,19.8,12,4.4,2.2,0.7,44.3,32.4,15.6,8.6,3.4
d_20161101,20.9,13.2,5.6,3.6,2.2,42.9,31.7,15.2,7.8,3
d_20161201,15.9,9.6,3.5,2,1.1,45.5,30.5,12.4,6.9,2.8
d_20170101,13.9,8.5,3.1,1.5,0.4,49.6,35.8,16.5,8.8,3.2
d_20170201,15.3,9.5,4,2.3,1,48.5,35.5,18.1,11.3,4.6
d_20170301,14.4,8.9,3.7,2,0.7,54.8,42.2,25.1,16.3,8.4
d_20170401,10.6,6.2,1.9,0.6,0.1,62.2,49.7,28.9,19,10.1
d_20170501,10.3,5.1,0.8,0.2,0,57.1,43.2,24,15.9,8.2
d_20170601,10.4,4.9,1.4,0.6,0.2,47.8,34.7,19.4,13,6.5
d_20170701,9.9,6.2,3.3,2.4,1.6,51.5,36.2,15.8,8.5,3.7
d_20170801,8.1,5.3,3.1,2.3,1.5,60.8,45.8,23.6,14.3,6.7
d_20170901,9.6,5.7,2.6,1.7,1.1,55.8,40.6,19.4,10.8,4.6
d_20171001,15,9.3,4.2,2.4,1.2,48.5,36.8,18.1,10.2,4.2
d_20171101,21.1,15,7.4,4.5,2.3,42.5,30.8,14.1,7.4,2.4
d_20171201,26.1,18.8,9.5,6,2.8,33.7,22.8,9.8,5.3,2
d_20180101,36.6,25.9,11.6,6,2.2,23.8,16,7,3.8,1.6
d_20180201,35.8,25.6,12.8,7.3,2.8,29.1,20,8.2,4,1.4
d_20180301,31.3,21.2,8.1,3.7,0.9,28.3,18.8,7.1,3.5,1.3
d_20180401,33.8,22.5,10.5,6.5,3.1,28.9,19.5,8.1,4.1,1.5
d_20180501,38,27.1,12.5,7,3.3,25.2,17.4,8.3,4.5,1.9
d_20180601,38.3,28.6,16.9,11.5,6.1,30,22,11.2,6.6,3
d_20180701,38.4,27.2,12.3,7.2,3,25.1,16.9,7.9,4.4,2
d_20180801,33.3,22.4,9.5,5.3,1.8,31.9,23,11.1,6.5,3.2
d_20180901,24.3,15.5,6.5,3.9,1.5,37.4,28.7,18.2,13.2,8
d_20181001,14.6,8.3,2.7,1.2,0.3,51,39.7,24.4,17.4,10.4
d_20181101,13.5,7.8,2.5,1.1,0.4,50.9,37.7,20.5,14.1,8.9
d_20181201,15.4,9,2.5,0.9,0.2,53.1,43.2,27.5,19.9,12.3
d_20190101,13.1,8.4,3.1,1.2,0.2,57.8,47.6,31.3,22.8,14
d_20190201,7.4,3.9,0.8,0.2,0,66,55.4,37.3,28,17.7
d_20190301,8.4,5.3,1.8,0.6,0.1,69.9,58.5,36.6,26.3,15.2
d_20190401,6,3.2,0.6,0.1,0,72.6,60.5,39.5,30.4,19.6
d_20190501,3.9,2.3,0.4,0.1,0,82.3,71.6,51.4,40.2,26.2
d_20190601,3.3,1.7,0.4,0.1,0,81.1,69.9,48.4,36,19.7
d_20190701,6.3,3.1,0.7,0.2,0,70.6,59.8,37.4,25.3,12.5
d_20190801,8.5,4.6,1.2,0.4,0.1,68,56.5,35.2,23.7,12.6
d_20190901,11.3,7.4,3.3,1.6,0.5,65.7,55.2,34.2,22.4,10.1
d_20191001,10.7,6.2,1.9,0.7,0.1,66.4,56.9,38.1,26.2,13.7
d_20191101,12.3,6.3,1.9,0.7,0.2,54.9,43.5,25.8,17.4,8.7
d_20191201,10.9,5,0.9,0.2,0,57.6,46.2,27.6,18.4,9.6
d_20200101,12.8,6.2,1.2,0.5,0.1,52.6,42.6,28.2,19.7,10.5
d_20200201,22.8,15.8,7.5,4,1.1,47,37.7,24.2,16.7,8.6
d_20200301,21.5,15.3,6.8,3.1,0.5,47.8,38.7,25,18.1,11
d_20200401,22.3,15.6,6.3,2.7,0.6,50.7,40.3,24,15.9,7.7
d_20200501,21.6,14.7,6.2,2.9,0.5,47.4,37.4,20.5,13.3,6.3
d_20200601,24,16.7,7.3,3.3,0.6,38.5,30.2,18.3,12.7,6.9
d_20200701,28.2,18.1,6.6,2.6,0.5,36.9,27.3,13.3,7.3,3
d_20200801,35.4,26.2,13.2,7.1,2.5,33.3,25.4,14.6,9.6,4.9
d_20200901,42.3,34.1,21.8,14.2,6.8,30.8,24.6,15.3,10.7,5.5
d_20201001,44.1,35.9,24.4,17.5,9.9,28.6,22.6,15.2,10.5,5.2
d_20201101,43.7,35,23.4,16.8,9.5,26.8,19.3,9.6,5.6,2.6
d_20201201,47.1,39.2,28.4,22.5,15.6,21.9,14.9,7.3,4.7,2.8
d_20210101,46.4,37.8,25.4,19.7,14,19.2,11.2,5.1,3.5,2.2
d_20210201,48.7,39,26.5,20.1,13.1,17.7,11,5,3.4,2.2
d_20210301,53.2,44.1,29.3,22.4,14.5,15.9,9.3,3.6,2.4,1.4
d_20210401,56,46.6,31.9,24.3,14.8,16.8,10.6,4.9,3.1,1.7
d_20210501,48.7,39.3,24.6,17.4,9.6,18.6,10.9,3.9,1.8,0.5
d_20210601,46.9,38.5,25.2,17,7.8,18.5,9.9,3.2,1.7,0.6
d_20210701,41,32.7,20.2,13.6,6.8,24.5,15.1,5.2,2.3,0.8
d_20210801,38.6,29.9,16.1,9.7,3.9,31,21.8,9.1,4.4,1.6
d_20210901,37.2,28.4,15.2,9.1,3.2,29.4,19.3,8.5,4.4,1.6
d_20211001,27.8,18.8,8.4,4.1,1.4,33.7,23.8,12.4,7.8,3.6
d_20211101,32.3,22.2,9.8,5.3,1.9,28.4,19.3,8.9,5.3,2.3
d_20211201,27.1,17,5.9,2.6,0.6,29.7,19.8,8.3,4.4,1.9
d_20220101,25.9,15.7,4.9,1.9,0.4,27.4,17.9,7,3.8,1.2
d_20220201,34.9,22,7.9,3.7,1.5,26.3,18.6,9.8,6.3,2.8
d_20220301,34.5,22.4,7.3,3.2,0.8,26.1,17.8,8.4,4.8,2
d_20220401,38.7,27.3,13.2,7.8,3.4,25.3,17.5,8.2,4.6,2.3
d_20220501,40.9,30.4,16.4,10.9,5.1,24.8,16.7,7.8,4.7,2.5
d_20220601,41.7,30.3,15.7,9.2,4.1,21.1,13.2,5.3,2.9,1.4
d_20220701,50.4,38.1,20.5,13,6.5,14.5,8,2.5,1.3,0.5
d_20220801,36.3,24.3,10.8,6,2.6,23.8,13.7,4.6,2,0.6
d_20220901,42.3,31.1,15.8,9.6,4.6,17.7,9.4,3,1.1,0.2
d_20221001,39.7,28.1,13.4,7.6,3.1,19.1,10.7,3,1.1,0.2
d_20221101,31.9,20,8.2,4,1.5,19.5,10.3,3.1,1.2,0.2
d_20221201,24.3,15.9,6.9,3.7,1.6,26.5,14,3.9,1.4,0.4
